Patron,Medida
"25.00","25.13"
"25.00","25.26"
"25.00","25.23"
"25.00","25.33"
"25.00","25.17"
"25.00","25.40"
"29.90","30.06"
"29.90","29.89"
"29.90","29.66"
"29.90","30.20"
"29.90","30.04"
"29.90","30.14"
"34.80","35.10"
"34.80","34.21"
"34.80","34.10"
"34.80","34.37"
"34.80","35.05"
"34.80","35.26"
"39.70","39.55"
"39.70","38.69"
"39.70","39.05"
"39.70","39.94"
"39.70","39.88"
"39.70","39.67"
"44.60","44.39"
"44.60","43.73"
"44.60","43.25"
"44.60","44.99"
"44.60","44.65"
"44.60","45.31"
"49.50","49.60"
"49.50","49.74"
"49.50","49.41"
"49.50","49.27"
"49.50","50.11"
"49.50","50.23"
